scenario,model,instance,sample,elapsed_ms,rss_kb
first-use-short-v3,parakeet-tdt-0.6b-v3,1,0,8.424,14704
first-use-short-v3,parakeet-tdt-0.6b-v3,1,1,137.152,31856
first-use-short-v3,parakeet-tdt-0.6b-v3,1,2,266.122,45744
first-use-short-v3,parakeet-tdt-0.6b-v3,1,3,394.968,96656
first-use-short-v3,parakeet-tdt-0.6b-v3,1,4,530.901,124000
first-use-short-v3,parakeet-tdt-0.6b-v3,1,5,695.847,124256
first-use-short-v3,parakeet-tdt-0.6b-v3,1,6,857.296,148944
first-use-short-v3,parakeet-tdt-0.6b-v3,1,7,1002.871,163344
first-use-short-v3,parakeet-tdt-0.6b-v3,1,8,1129.708,163344
first-use-short-v3,parakeet-tdt-0.6b-v3,1,9,1256.692,163344
first-use-short-v3,parakeet-tdt-0.6b-v3,1,10,1383.784,163344
first-use-short-v3,parakeet-tdt-0.6b-v3,1,11,1516.976,163344
first-use-short-v3,parakeet-tdt-0.6b-v3,1,12,1653.609,163344
first-use-short-v3,parakeet-tdt-0.6b-v3,1,13,1786.105,163312
first-use-short-v3,parakeet-tdt-0.6b-v3,1,14,1913.878,163312
first-use-short-v3,parakeet-tdt-0.6b-v3,1,15,2039.521,163312
first-use-short-v3,parakeet-tdt-0.6b-v3,1,16,2170.537,163312
first-use-short-v3,parakeet-tdt-0.6b-v3,1,17,2297.776,163312
first-use-short-v3,parakeet-tdt-0.6b-v3,1,18,2425.961,163312
first-use-short-v3,parakeet-tdt-0.6b-v3,1,19,2557.366,163312
first-use-short-v3,parakeet-tdt-0.6b-v3,1,20,2687.622,163312
first-use-short-v3,parakeet-tdt-0.6b-v3,1,21,2817.937,163312
first-use-short-v3,parakeet-tdt-0.6b-v3,1,22,2949.527,163312
first-use-short-v3,parakeet-tdt-0.6b-v3,2,0,8.598,22176
first-use-short-v3,parakeet-tdt-0.6b-v3,2,1,135.245,32128
first-use-short-v3,parakeet-tdt-0.6b-v3,2,2,261.712,80224
first-use-short-v3,parakeet-tdt-0.6b-v3,2,3,391.364,102016
first-use-short-v3,parakeet-tdt-0.6b-v3,2,4,523.227,124160
first-use-short-v3,parakeet-tdt-0.6b-v3,2,5,682.807,160560
first-use-short-v3,parakeet-tdt-0.6b-v3,2,6,817.017,160832
first-use-short-v3,parakeet-tdt-0.6b-v3,2,7,945.294,160832
first-use-short-v3,parakeet-tdt-0.6b-v3,2,8,1077.429,160832
first-use-short-v3,parakeet-tdt-0.6b-v3,2,9,1205.408,160832
first-use-short-v3,parakeet-tdt-0.6b-v3,2,10,1332.128,160832
first-use-short-v3,parakeet-tdt-0.6b-v3,2,11,1459.599,160832
first-use-short-v3,parakeet-tdt-0.6b-v3,2,12,1587.944,160832
first-use-short-v3,parakeet-tdt-0.6b-v3,2,13,1723.157,160800
first-use-short-v3,parakeet-tdt-0.6b-v3,2,14,1850.804,160800
first-use-short-v3,parakeet-tdt-0.6b-v3,2,15,1977.345,160800
first-use-short-v3,parakeet-tdt-0.6b-v3,2,16,2106.498,160800
first-use-short-v3,parakeet-tdt-0.6b-v3,2,17,2237.037,160800
first-use-short-v3,parakeet-tdt-0.6b-v3,2,18,2362.485,160800
first-use-short-v3,parakeet-tdt-0.6b-v3,2,19,2489.849,160800
first-use-short-v3,parakeet-tdt-0.6b-v3,2,20,2619.191,160800
first-use-short-v3,parakeet-tdt-0.6b-v3,2,21,2755.929,160800
first-use-short-v3,parakeet-tdt-0.6b-v3,3,0,8.285,22224
first-use-short-v3,parakeet-tdt-0.6b-v3,3,1,134.632,32256
first-use-short-v3,parakeet-tdt-0.6b-v3,3,2,264.158,84992
first-use-short-v3,parakeet-tdt-0.6b-v3,3,3,391.369,114320
first-use-short-v3,parakeet-tdt-0.6b-v3,3,4,518.017,128720
first-use-short-v3,parakeet-tdt-0.6b-v3,3,5,650.163,162176
first-use-short-v3,parakeet-tdt-0.6b-v3,3,6,778.916,162016
first-use-short-v3,parakeet-tdt-0.6b-v3,3,7,909.220,162016
first-use-short-v3,parakeet-tdt-0.6b-v3,3,8,1038.279,162016
first-use-short-v3,parakeet-tdt-0.6b-v3,3,9,1165.595,162016
first-use-short-v3,parakeet-tdt-0.6b-v3,3,10,1291.673,162016
first-use-short-v3,parakeet-tdt-0.6b-v3,3,11,1413.340,162016
first-use-short-v3,parakeet-tdt-0.6b-v3,3,12,1554.980,162016
first-use-short-v3,parakeet-tdt-0.6b-v3,3,13,1706.030,161984
first-use-short-v3,parakeet-tdt-0.6b-v3,3,14,1832.732,161984
first-use-short-v3,parakeet-tdt-0.6b-v3,3,15,1968.773,161984
first-use-short-v3,parakeet-tdt-0.6b-v3,3,16,2101.760,162000
first-use-short-v3,parakeet-tdt-0.6b-v3,3,17,2231.096,162000
first-use-short-v3,parakeet-tdt-0.6b-v3,3,18,2360.574,162000
first-use-short-v3,parakeet-tdt-0.6b-v3,3,19,2492.225,162000
first-use-short-v3,parakeet-tdt-0.6b-v3,3,20,2629.826,162000
first-use-short-v3,parakeet-tdt-0.6b-v3,3,21,2761.201,162000
first-use-short-v3,parakeet-tdt-0.6b-v3,4,0,8.617,22448
first-use-short-v3,parakeet-tdt-0.6b-v3,4,1,132.017,32416
first-use-short-v3,parakeet-tdt-0.6b-v3,4,2,257.183,84528
first-use-short-v3,parakeet-tdt-0.6b-v3,4,3,381.219,113728
first-use-short-v3,parakeet-tdt-0.6b-v3,4,4,503.843,124496
first-use-short-v3,parakeet-tdt-0.6b-v3,4,5,633.595,166768
first-use-short-v3,parakeet-tdt-0.6b-v3,4,6,761.000,166592
first-use-short-v3,parakeet-tdt-0.6b-v3,4,7,884.489,166592
first-use-short-v3,parakeet-tdt-0.6b-v3,4,8,1010.751,166592
first-use-short-v3,parakeet-tdt-0.6b-v3,4,9,1138.384,166608
first-use-short-v3,parakeet-tdt-0.6b-v3,4,10,1267.154,166608
first-use-short-v3,parakeet-tdt-0.6b-v3,4,11,1397.683,166608
first-use-short-v3,parakeet-tdt-0.6b-v3,4,12,1527.888,166608
first-use-short-v3,parakeet-tdt-0.6b-v3,4,13,1654.741,166576
first-use-short-v3,parakeet-tdt-0.6b-v3,4,14,1781.383,166576
first-use-short-v3,parakeet-tdt-0.6b-v3,4,15,1916.090,166576
first-use-short-v3,parakeet-tdt-0.6b-v3,4,16,2057.589,166576
first-use-short-v3,parakeet-tdt-0.6b-v3,4,17,2197.535,166576
first-use-short-v3,parakeet-tdt-0.6b-v3,4,18,2335.777,166576
first-use-short-v3,parakeet-tdt-0.6b-v3,4,19,2475.714,162640
first-use-short-v3,parakeet-tdt-0.6b-v3,4,20,2610.920,162640
first-use-short-v3,parakeet-tdt-0.6b-v3,4,21,2743.932,162640
first-use-short-v3,parakeet-tdt-0.6b-v3,5,0,8.456,22256
first-use-short-v3,parakeet-tdt-0.6b-v3,5,1,133.914,32288
first-use-short-v3,parakeet-tdt-0.6b-v3,5,2,262.268,82064
first-use-short-v3,parakeet-tdt-0.6b-v3,5,3,388.143,111072
first-use-short-v3,parakeet-tdt-0.6b-v3,5,4,515.440,127600
first-use-short-v3,parakeet-tdt-0.6b-v3,5,5,645.870,163728
first-use-short-v3,parakeet-tdt-0.6b-v3,5,6,774.565,159616
first-use-short-v3,parakeet-tdt-0.6b-v3,5,7,903.043,159616
first-use-short-v3,parakeet-tdt-0.6b-v3,5,8,1029.297,159616
first-use-short-v3,parakeet-tdt-0.6b-v3,5,9,1153.672,159616
first-use-short-v3,parakeet-tdt-0.6b-v3,5,10,1280.296,159616
first-use-short-v3,parakeet-tdt-0.6b-v3,5,11,1405.179,159616
first-use-short-v3,parakeet-tdt-0.6b-v3,5,12,1529.204,159616
first-use-short-v3,parakeet-tdt-0.6b-v3,5,13,1655.733,159584
first-use-short-v3,parakeet-tdt-0.6b-v3,5,14,1783.674,159584
first-use-short-v3,parakeet-tdt-0.6b-v3,5,15,1911.771,159584
first-use-short-v3,parakeet-tdt-0.6b-v3,5,16,2039.320,159584
first-use-short-v3,parakeet-tdt-0.6b-v3,5,17,2163.413,159600
first-use-short-v3,parakeet-tdt-0.6b-v3,5,18,2289.504,159600
first-use-short-v3,parakeet-tdt-0.6b-v3,5,19,2420.930,159600
first-use-short-v3,parakeet-tdt-0.6b-v3,5,20,2564.260,159600
first-use-short-v3,parakeet-tdt-0.6b-v3,5,21,2691.851,159600
first-use-short-v3,parakeet-tdt-0.6b-v3,6,0,9.120,24528
first-use-short-v3,parakeet-tdt-0.6b-v3,6,1,152.130,32352
first-use-short-v3,parakeet-tdt-0.6b-v3,6,2,284.645,91168
first-use-short-v3,parakeet-tdt-0.6b-v3,6,3,418.125,118608
first-use-short-v3,parakeet-tdt-0.6b-v3,6,4,547.631,131328
first-use-short-v3,parakeet-tdt-0.6b-v3,6,5,670.431,160512
first-use-short-v3,parakeet-tdt-0.6b-v3,6,6,800.767,160352
first-use-short-v3,parakeet-tdt-0.6b-v3,6,7,929.830,160352
first-use-short-v3,parakeet-tdt-0.6b-v3,6,8,1058.049,160352
first-use-short-v3,parakeet-tdt-0.6b-v3,6,9,1187.734,160352
first-use-short-v3,parakeet-tdt-0.6b-v3,6,10,1323.985,160352
first-use-short-v3,parakeet-tdt-0.6b-v3,6,11,1460.702,160352
first-use-short-v3,parakeet-tdt-0.6b-v3,6,12,1593.328,160320
first-use-short-v3,parakeet-tdt-0.6b-v3,6,13,1724.664,160320
first-use-short-v3,parakeet-tdt-0.6b-v3,6,14,1862.734,160320
first-use-short-v3,parakeet-tdt-0.6b-v3,6,15,2010.001,160320
first-use-short-v3,parakeet-tdt-0.6b-v3,6,16,2151.737,160320
first-use-short-v3,parakeet-tdt-0.6b-v3,6,17,2290.385,160320
first-use-short-v3,parakeet-tdt-0.6b-v3,6,18,2432.473,160320
first-use-short-v3,parakeet-tdt-0.6b-v3,6,19,2566.279,160320
first-use-short-v3,parakeet-tdt-0.6b-v3,6,20,2694.755,160320
first-use-short-v3,parakeet-tdt-0.6b-v3,7,0,7.599,21296
first-use-short-v3,parakeet-tdt-0.6b-v3,7,1,130.634,32160
first-use-short-v3,parakeet-tdt-0.6b-v3,7,2,255.758,81392
first-use-short-v3,parakeet-tdt-0.6b-v3,7,3,379.890,108208
first-use-short-v3,parakeet-tdt-0.6b-v3,7,4,506.218,123664
first-use-short-v3,parakeet-tdt-0.6b-v3,7,5,636.693,165680
first-use-short-v3,parakeet-tdt-0.6b-v3,7,6,768.208,161680
first-use-short-v3,parakeet-tdt-0.6b-v3,7,7,898.819,161680
first-use-short-v3,parakeet-tdt-0.6b-v3,7,8,1030.689,161680
first-use-short-v3,parakeet-tdt-0.6b-v3,7,9,1160.658,161680
first-use-short-v3,parakeet-tdt-0.6b-v3,7,10,1290.387,161680
first-use-short-v3,parakeet-tdt-0.6b-v3,7,11,1421.182,161680
first-use-short-v3,parakeet-tdt-0.6b-v3,7,12,1547.945,161680
first-use-short-v3,parakeet-tdt-0.6b-v3,7,13,1677.221,161648
first-use-short-v3,parakeet-tdt-0.6b-v3,7,14,1812.800,161648
first-use-short-v3,parakeet-tdt-0.6b-v3,7,15,1957.022,161648
first-use-short-v3,parakeet-tdt-0.6b-v3,7,16,2090.202,161648
first-use-short-v3,parakeet-tdt-0.6b-v3,7,17,2221.475,161648
first-use-short-v3,parakeet-tdt-0.6b-v3,7,18,2356.995,161648
first-use-short-v3,parakeet-tdt-0.6b-v3,7,19,2494.932,161648
first-use-short-v3,parakeet-tdt-0.6b-v3,7,20,2632.537,161648
